breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge,combo_label,weight_market_sanity,weight_steam,base_roi,base_strike_rate,base_bets,base_total_profit,delta_roi,delta_strike_rate,delta_bets,delta_total_profit
price_band,12-20,112,10,112.0,13.0,0.11607142857142858,0.08928571428571429,13.151785714285714,0.09376368554868572,mkt=0.060|steam=0.060,0.06,0.06,0.04838709677419355,0.08064516129032258,124,6.0,0.06768433179723503,0.00864055299539171,-12,7.0
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.09018218831180203,mkt=0.060|steam=0.060,0.06,0.06,1.9,1.0,1,1.9,0.0,0.0,0,0.0
price_band,6-9,213,28,213.0,-5.0,-0.023474178403755867,0.13145539906103287,7.284037558685446,0.0784498032217207,mkt=0.060|steam=0.060,0.06,0.06,0.07709251101321586,0.14537444933920704,227,17.5,-0.10056668941697172,-0.013919050278174167,-14,-22.5
price_band,3-6,44,4,44.0,-24.2,-0.5499999999999999,0.09090909090909091,4.947727272727272,0.07898545536211891,mkt=0.060|steam=0.060,0.06,0.06,-0.5392857142857143,0.10714285714285714,56,-30.2,-0.010714285714285676,-0.016233766233766225,-12,6.0
price_band,9-12,127,16,127.0,35.5,0.2795275590551181,0.12598425196850394,9.89763779527559,0.08567965855479982,mkt=0.060|steam=0.080,0.06,0.08,0.4520547945205479,0.14383561643835616,146,66.0,-0.1725272354654298,-0.01785136446985222,-19,-30.5
price_band,6-9,208,29,208.0,4.0,0.019230769230769232,0.13942307692307693,7.295673076923077,0.08014657538842036,mkt=0.060|steam=0.080,0.06,0.08,0.07709251101321586,0.14537444933920704,227,17.5,-0.05786174178244663,-0.005951372416130113,-19,-13.5
price_band,12-20,99,8,99.0,2.0,0.020202020202020204,0.08080808080808081,13.121212121212121,0.09403954313091581,mkt=0.060|steam=0.080,0.06,0.08,0.04838709677419355,0.08064516129032258,124,6.0,-0.028185076572173343,0.00016291951775823654,-25,-4.0
price_band,<3,2,1,2.0,0.8999999999999999,0.44999999999999996,0.5,2.8,0.08861777651929306,mkt=0.060|steam=0.080,0.06,0.08,1.9,1.0,1,1.9,-1.45,-0.5,1,-1.0
price_band,3-6,53,6,53.0,-24.4,-0.460377358490566,0.11320754716981132,4.981132075471698,0.07755723684992365,mkt=0.060|steam=0.080,0.06,0.08,-0.5392857142857143,0.10714285714285714,56,-30.2,0.07890835579514827,0.0060646900269541865,-3,5.800000000000001
price_band,9-12,120,17,120.0,54.0,0.45,0.14166666666666666,9.916666666666666,0.08719034521268536,mkt=0.060|steam=0.100,0.06,0.1,0.4520547945205479,0.14383561643835616,146,66.0,-0.002054794520547909,-0.0021689497716894934,-26,-12.0
price_band,12-20,106,9,106.0,9.0,0.08490566037735849,0.08490566037735849,13.141509433962264,0.09874440865109892,mkt=0.060|steam=0.100,0.06,0.1,0.04838709677419355,0.08064516129032258,124,6.0,0.03651856360316494,0.004260499087035907,-18,3.0
price_band,6-9,207,29,207.0,2.5,0.012077294685990338,0.14009661835748793,7.243961352657005,0.08090267665037895,mkt=0.060|steam=0.100,0.06,0.1,0.07709251101321586,0.14537444933920704,227,17.5,-0.06501521632722553,-0.005277830981719106,-20,-15.0
price_band,<3,1,0,1.0,-1.0,-1.0,0.0,2.7,0.09918485293144758,mkt=0.060|steam=0.100,0.06,0.1,1.9,1.0,1,1.9,-2.9,-1.0,0,-2.9
price_band,3-6,63,10,63.0,-17.5,-0.2777777777777778,0.15873015873015872,4.893650793650794,0.07622790851163042,mkt=0.060|steam=0.100,0.06,0.1,-0.5392857142857143,0.10714285714285714,56,-30.2,0.26150793650793647,0.051587301587301584,7,12.7
price_band,9-12,112,12,112.0,11.5,0.10267857142857142,0.10714285714285714,9.892857142857142,0.09057717939417549,mkt=0.080|steam=0.040,0.08,0.04,0.4520547945205479,0.14383561643835616,146,66.0,-0.34937622309197647,-0.03669275929549902,-34,-54.5
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.08697988763886894,mkt=0.080|steam=0.040,0.08,0.04,1.9,1.0,1,1.9,0.0,0.0,0,0.0
price_band,6-9,197,25,197.0,-13.5,-0.06852791878172589,0.12690355329949238,7.317258883248731,0.0792461009818522,mkt=0.080|steam=0.040,0.08,0.04,0.07709251101321586,0.14537444933920704,227,17.5,-0.14562042979494175,-0.018470896039714663,-30,-31.0
price_band,12-20,109,7,109.0,-22.0,-0.2018348623853211,0.06422018348623854,13.100917431192661,0.09184645907118655,mkt=0.080|steam=0.040,0.08,0.04,0.04838709677419355,0.08064516129032258,124,6.0,-0.2502219591595147,-0.016424977804084043,-15,-28.0
price_band,3-6,42,4,42.0,-22.2,-0.5285714285714286,0.09523809523809523,4.902380952380953,0.07869042591355965,mkt=0.080|steam=0.040,0.08,0.04,-0.5392857142857143,0.10714285714285714,56,-30.2,0.010714285714285676,-0.011904761904761904,-14,8.0
price_band,9-12,107,14,107.0,35.5,0.3317757009345794,0.1308411214953271,9.883177570093459,0.08899113942786172,mkt=0.080|steam=0.060,0.08,0.06,0.4520547945205479,0.14383561643835616,146,66.0,-0.1202790935859685,-0.012994494943029067,-39,-30.5
price_band,6-9,186,27,186.0,11.5,0.06182795698924731,0.14516129032258066,7.293010752688172,0.07933080053790524,mkt=0.080|steam=0.060,0.08,0.06,0.07709251101321586,0.14537444933920704,227,17.5,-0.015264554023968549,-0.00021315901662638526,-41,-6.0
price_band,12-20,99,8,99.0,2.0,0.020202020202020204,0.08080808080808081,13.11111111111111,0.09099287836086746,mkt=0.080|steam=0.060,0.08,0.06,0.04838709677419355,0.08064516129032258,124,6.0,-0.028185076572173343,0.00016291951775823654,-25,-4.0
price_band,<3,2,1,2.0,0.8999999999999999,0.44999999999999996,0.5,2.8,0.092840294861921,mkt=0.080|steam=0.060,0.08,0.06,1.9,1.0,1,1.9,-1.45,-0.5,1,-1.0
